# recipeId minecraftName

205 light_weighted_pressure_plate
206 light_gray_wool
207 light_gray_terracotta
208 light_gray_stained_glass_pane
209 light_gray_stained_glass
210 light_gray_dye_from_white_tulip
211 light_gray_dye_from_oxeye_daisy
212 light_gray_dye_from_gray_white_dye
213 light_gray_dye_from_black_white_dye
214 light_gray_dye_from_azure_bluet
215 light_gray_concrete_powder
216 light_gray_carpet
217 light_gray_bed_from_white_bed
218 light_gray_bed
219 light_gray_banner
220 light_blue_wool
221 light_blue_terracotta
222 light_blue_stained_glass_pane
223 light_blue_stained_glass
224 light_blue_dye_from_blue_white_dye
225 light_blue_dye_from_blue_orchid
226 light_blue_concrete_powder
227 light_blue_carpet
228 light_blue_bed_from_white_bed
229 light_blue_bed
230 light_blue_banner
231 lever
232 leather_leggings
233 leather_helmet
234 leather_chestplate
235 leather_boots
236 leather
237 lead
238 lapis_lazuli
239 lapis_block
240 ladder
241 jungle_slab
242 jungle_stairs
243 jungle_planks
244 jungle_fence_gate
245 jungle_fence
246 jungle_door
247 jungle_boat
248 jukebox
249 item_frame
250 iron_trapdoor
251 iron_sword
252 iron_shovel
253 iron_pickaxe
254 iron_nugget
255 iron_leggings
256 iron_ingot_from_iron_block
257 iron_ingot_from_nuggets
258 iron_hoe
259 iron_helmet
260 iron_door
261 iron_chestplate
262 iron_boots
263 iron_block
264 iron_bars
265 iron_axe
266 hopper_minecart
267 hopper
268 heavy_weighted_pressure_plate
269 hay_block
270 green_wool
271 green_terracotta
272 green_stained_glass_pane
273 green_stained_glass
274 green_concrete_powder
275 green_carpet
276 green_bed_from_white_bed
277 green_bed
278 green_banner
279 gray_wool
280 gray_terracotta
281 gray_stained_glass_pane
282 gray_stained_glass
283 gray_dye
284 gray_concrete_powder
285 gray_carpet
286 gray_bed_from_white_bed
287 gray_bed
288 gray_banner
289 granite
290 golden_sword
291 golden_shovel
292 powered_rail
293 golden_pickaxe
294 golden_leggings
295 golden_hoe
296 golden_helmet
297 golden_chestplate
298 golden_carrot
299 golden_boots
300 golden_axe
301 golden_apple
302 gold_nugget
303 gold_ingot_from_gold_block
304 gold_ingot
305 gold_block
306 glowstone
307 glass_pane
308 glass_bottle
309 furnace_minecart
310 furnace
311 flower_pot
312 flint_and_steel
313 fishing_rod
314 fire_charge
315 fermented_spider_eye
316 oak_fence_gate
317 oak_fence
318 ender_eye
319 ender_chest
320 end_rod
321 end_crystal
322 end_stone_bricks
323 enchanting_table
324 emerald_block
325 emerald
326 dropper
327 dispenser
328 diorite
329 diamond_sword
330 diamond_shovel
331 diamond_pickaxe
332 diamond_leggings
333 diamond_hoe
334 diamond_helmet
335 diamond_chestplate
336 diamond_boots
337 diamond_block
338 diamond_axe
339 diamond
340 detector_rail
341 daylight_detector
342 dark_prismarine
343 dark_oak_slab
344 dark_oak_stairs
345 dark_oak_planks
346 dark_oak_fence_gate
347 dark_oak_fence
348 dark_oak_door
349 dark_oak_boat
350 cyan_wool
351 cyan_terracotta
352 cyan_stained_glass_pane
353 cyan_stained_glass
354 cyan_dye
355 cyan_concrete_powder
356 cyan_carpet
357 cyan_bed_from_white_bed
358 cyan_bed
359 cyan_banner
360 crafting_table
361 cookie
362 compass
363 comparator
364 cobblestone_wall
365 cobblestone_slab
366 coarse_dirt
367 coal_block
368 coal
369 clock
370 clay
371 chiseled_stone_bricks
372 chiseled_sandstone
373 chiseled_red_sandstone
374 chiseled_quartz_block
375 chest_minecart
376 chest
377 cauldron
378 carrot_on_a_stick
379 cake
380 bucket
381 brown_wool
382 brown_terracotta
383 brown_stained_glass_pane
384 brown_stained_glass
385 brown_concrete_powder
386 brown_carpet
387 brown_bed_from_white_bed
388 brown_bed
389 brown_banner
390 brick_stairs
391 brick_slab
392 bricks
393 brewing_stand
394 bread
395 bowl
396 bow
397 bookshelf
398 book
399 bone_meal
400 bone_meal_from_bone_block
401 bone_block
402 oak_boat
403 blue_wool
404 blue_terracotta
405 blue_stained_glass_pane
406 blue_stained_glass
407 blue_concrete_powder
408 blue_carpet
409 blue_bed_from_white_bed
410 blue_bed
411 blue_banner
412 blaze_powder
413 black_wool
414 black_terracotta
415 black_stained_glass_pane
416 black_stained_glass
417 black_concrete_powder
418 black_carpet
419 black_bed_from_white_bed
420 black_bed
421 black_banner
422 birch_slab
423 birch_stairs
424 birch_planks
425 birch_fence_gate
426 birch_fence
427 birch_door
428 birch_boat
429 beetroot_soup
430 beacon
431 arrow
432 armor_stand
433 anvil
434 andesite
435 activator_rail
436 acacia_slab
437 acacia_stairs
438 acacia_planks
439 acacia_fence_gate
440 acacia_fence
441 acacia_door
442 acacia_boat
